name,collection_id
... Blood Collection,745329
... Has Fallen Collection,386534
... mit Hindernissen - Filmreihe,534537
[REC] Collection,74508
00 Schneider Filmreihe,265709
08/15 Collection,59009
10 giorni con...,708574
101 Dalmatians (Animated) Collection,100693
101 Dalmatians (Live-Action) Collection,124916
12 Dogs of Christmas Collection,494334
12 Rounds Collection,221622
1313 Collection,471259
1981 Collection,490348
2 Days In... Collection,138908
2 für alle Fälle Filmreihe,655810
2001 Maniacs Collection,285130
20th Century Boys Collection,17149
28 Days/Weeks Later Collection,1565
2-Headed Shark Attack Collection,494838
3 Men (Original) Collection,12141
3 Men Collection,107688
3 Ninja Kids Collection,71458
30 Days of Night Collection,91660
300 Collection,125570
47 Meters Down Collection,635922
47 Ronin Collection,732461
48 Hrs. Collection,93295
7 goldene Männer Filmreihe,366259
8MM Collection,387618
9½ Weeks Collection,121195
976-EVIL Collection,135501
A Better Tomorrow Collection,99635
A Chinese Ghost Story Collection,9046
A Christmas Prince Collection,526203
A Christmas Story Collection,201873
A Coming Of Angels,468687
A Doggone Collection,695763
A Dog's Purpose Collection,591028
A Few Best Men Collection,466004
A Fixer Upper Mystery Collection,449244
A Golden Christmas Collection,237444
A Goofy Movie Collection,410261
A Haunted House Collection,251937
A Man Called Horse Collection,383632
A Martha's Vineyard Mystery Collection,679080
A Moment of Romance Collection,370667
A Nightmare on Elm Street Collection,8581
A Quiet Place Collection,521226
A Rainbow Plays in My Heart Collection,709107
A Spasso Nel Tempo - Collezione,43054
A Taxing Woman Collection,532325
A Thief in the Night,308644
A Tight Spot Collection,478781
Aashiqui Collection,282971
Ab Tak Chhappan Collection,744686
Abashiri Prison Collection,633579
Abdulaziz Alessa,537279
Abel Gance's Napoleon,703821
About Love Collection,506085
Abunai Deka Collection,507044
Ace Ventura Collection,3167
Aces Go Places Collection,2643
Addams Family Collection,11716
Admiral Yi series,660359
Adventure Time Collection,710393
Adventures of a ...,329220
Adventures of Bailey Collection,525523
Adventures of Mowgli,195071
Afro Samurai Collection,588465
After Collection,702624
After Porn Ends Collection,508128
Against the Wild Collection,445496
Agent 00 Collection,650699
Agent 3S3 Filmreihe,531173
Agent Cody Banks Collection,91427
Aïcha,427601
Air Bud Collection,97445
Airplane Collection,91663
Airport Collection,33938
Akumyo Collection,633111
Aladdin Collection,86027
Aladdin Collection,748401
Alex Cross Collection,142680
Alfie Collection,689670
Alfons Karásek (kolekce),561028
Algjör Sveppi,320953
Alice in Wonderland Collection,261307
Alien Avengers Collection,482721
Alien Collection,8091
Alien Nation Collection,174245
Alien: Covenant Short Films,697022
Alienation Trilogy,441439
Aliens Ate My Homework Collection,730742
All American Girls Collection,469745
All Dogs Go to Heaven Collection,140910
All for ...,216435
All Hallow's Eve Collection,442195
All of My Heart Collection,480160
All Stars Collection,257071
Allan Quatermain,135502
Allan Quatermain (1950 series),135508
Allein unter … Filmreihe,426474
Alles was recht ist Filmreihe,456520
Alligator Collection,124934
Alligator Ladies Collection,667185
Allmen Collection,660967
Almighty Collection,124949
Alone in the Dark Collection,149704
Along with the Gods Collection,531566
Alpenglühen Filmreihe,587579
Alpha and Omega Collection,241729
Alvin and the Chipmunks Collection,167613
Always: Sunset on Third Street Collection,463394
American Addict Collection,478545
American Civil War Collection,725681
American Graffiti Collection,124950
American Ninja Collection,91945
American Pie (Spin-off) Collection,298820
American Pie Collection,2806
American Poltergeist,725456
American Psycho Collection,86105
American Yakuza Collection,628075
Americká cesta ke svobodě,653308
An American Girl Collection,25542
An American Tail Collection,8783
An American Werewolf Collection,9380
An Inconvenient Truth Collection,539554
Anaconda Collection,105995
Analyze Collection,110127
Anastasia Collection,694602
Anatomy Collection,8412
Anche gli angeli... - Collezione,296358
Anchorman Collection,93791
Anděl Páně (kolekce),464688
Andy Hardy Collection,690097
Ang Tanging Ina Collection,527947
Angel Terminators Collection,324142
Angelique Collection,91813
Angels in the ...,508334
Animal Collection,384142
Animal Instincts,592173
Animerama,716923
Anja & Viktor Collection,179042
Anna Filmreihe,525091
Annabelle Collection,402074
Anne Of Green Gables Collection,580524
Annie Collection,312735
Another Gay Movie Collection,102008
Antboy Collection,347469
Antisocial Collection,723282
Ant-Man Collection,422834
Ants in the Pants Collection,133297
Apocalypse Collection,133887
Appleseed Collection,87800
Appleseed XIII Collection,371526
Aquaman Collection,573693
ARCHIE Collection,631252
Are You Scared? Collection,756652
Argo Collection,338313
Armitage III Collection,182371
Armour of God Collection,146136
Arn Collection,86797
Arne Dahl - Collection,106504
Arthur and the Invisibles Collection,85817
Arthur Collection,170754
Ash Lad Collection,619923
Aşk Tesadüfleri Sever,694615
Assassination Classroom Collection,382402
Asterix & Obelix Collection,2396
Asterix and Obelix (Animation) Collection,94039
At Graceland Collection,635929
At the Top,633455
Atlantic Rim Collection,512693
Atlantis Collection,100965
Atlas Shrugged Collection,166381
Atomic Blonde Collection,524837
Ator Collection,48194
Atragon Collection,491775
Attack on Titan (Anime) Collection,383987
Attack on Titan Collection,370411
Attraction Collection,604246
Augsburger Puppenkiste - Das Sams,654155
Aunt Peg Collection,450013
Aurora Teagarden Mystery Collection,521293
Austin Powers Collection,1006
Auton Trilogy collection,702650
Aux origines de l'humanité,61941
Avatar Collection,87096
Avengers Grimm Collection,522577
Avengers XXX,364922
AVP Collection,115762
Ay Lav Yu Serisi,663623
Azumi Collection,101246
Baaghi Collection,506940
Baahubali Collection,350309
Babe Collection,9435
Babovřesky (kolekce),280057
Baby Burlesks,164072
Baby Driver Collection,726865
Baby Geniuses Collection,632595
Babylon 5 Collection,10441
Babysitting,331841
Bachelor Party Collection,466318
Back to the Future Collection,264
Backdraft Collection,597142
Bad Ass Collection,261286
Bad Boys Collection,14890
Bad Girls,162203
Bad Kids Collection,436483
Bad Moms Collection,487376
Bad Santa Collection,423173
Bajo el vestido nada - Colección,623482
Balto Collection,117693
Bambi Collection,87250
Bamsdorf Collection,427400
Bamse Collection,117695
Bandit (Action Pack) Collection,398758
Barbara Wood Film Collection,135325
Barbarian Queen Collection,284111
Barbershop Collection,176097
Barbie & Her Sisters,738821
Barbie & Kendra Collection,704438
Barbie A Mermaid Tale Collection,422361
Barbie Dreamtopia Collection,530783
Barbie Fairytopia Collection,411859
Barbie Mariposa Collection,447622
Barefoot Gen Collection,14095
Barney Collection,350402
Basic Instinct Collection,86336
Basket Case Collection,104716
Básníci (kolekcia),87538
Batman (Adam West) Animation Collection,626517
Batman (DC Universe Animated) Collection,421904
Batman Beyond Collection,379475
Batman Collection,120794
Batman Unlimited Collection,356688
Batman: The Dark Knight Returns Collection,248534
Bats Collection,381396
Battle Royale Collection,16302
Battlestar Galactica (Original) Collection,284151
Battlestar Galactica (Reboot) Collection,91697
Bauernprinzessin Collection,418367
Bayside Shakedown Collection,153202
Baztan Trilogy,687929
Beach Babes Collection,427954
Beach Party Collection,338327
Bearcity Collection,192999
Beastmaster Collection,106000
Beauty and the Beast Collection,153010
Beauty Salon: Special Service Series,705370
Beck Collection,279715
Beckmann und Markowski,478048
Bedside Collection,287969
Beef Collection,502123
Beethoven Collection,168880
Before... Collection,123800
Begotten Collection,476066
Behind Enemy Lines Collection,98513
Behind the Green Door Collection,343037
Bella ... Filmreihe,341427
Belle & Sebastian,455123
Ben 10 Collection,125931
Benvenuti al... Collection,150967
Benvenuto Presidente - Collezione,592744
Bernie the Dolphin Collection,660340
Berserk: Golden Age Arc Collection,118415
Bertram Collection,469512
Best Exotic Marigold Hotel Collection,306937
Best of the Best Collection,153948
Betty Broderick Collection,750317
Beutolomäus Filmreihe,303736
Beverly Hills Chihuahua Collection,87256
Beverly Hills Cop Collection,85861
Beyond the Boundary Collection,432125
Beyond the Prairie Collection,627404
Bezaubernde Marie Filmreihe,378702
Bhoot Collection,752944
Bhoothnath Collection,264317
Bibi & Tina Collection,338889
Bibi Blocksberg Collection,169123
Bibleman Collection,515241
Big Fat Liar Collection,525711
Big Momma's House Collection,44979
Big Zapper Collection,165863
Bikini Summer Collection,362047
Bill & Ted's Most Excellent Collection,91746
Billy Jack Collection,240690
Bionicle Collection,59007
Bird Box Collection,731067
Black Angel series,525317
Black Caesar,534652
Black Cobra,463165
Black Emanuelle Collection,227140
Black Fox Collection,665170
Black Hills Collection,730288
Black Panther Collection,529892
Black Scorpion Collection,319644
Black Water Collection,730166
BlackJack Collection,705137
Blacula Collection,201930
Blade Collection,735
Blade Runner Collection,422837
Blair Witch Collection,64750
Bleach Collection,23497
Blindsided Collection,524795
Blondie Collection,177062
Blood Feast Collection,519018
Bloodfight,288882
Bloodfist Collection,121067
Bloodhounds Collection,666057
BloodRayne Collection,97307
Bloodsport Collection,36694
Bloody Murder - Colección,623480
Blue Collar Comedy Tour Collection,104842
Blue Crush Collection,115839
Blutjunge Verführerinnen Reihe,595022
Bo Burnham Collection,703144
Bob Fleming Collection,635525
Bobule Collection,359402
Body Chemistry Collection,398707
Bohemian Rhapsody Collection,750785
"Bomba, the Jungle Boy",744814
Bon Cop Bad Cop Collection,417491
Bonanza Movie Collection,492980
Bonded by Blood Collection,428672
Boo! A Madea Halloween Collection,501909
Borat Moviefilms,747168
Borgríki Collection,466291
Born Free Collection,354210
Born To Race Collection,294187
Borsalino Collection,369004
Boston Blackie Series,86414
Boule & Bill,472195
Bound Heat,643588
Bounty Hunters Collection,121732
Boys Life (Collection),693950
Boys Town Collection,413937
Brancaleone Collection,251858
Bratz Collection,87103
Breakin' Collection,92222
Brice Collection,442352
Bridget Jones Collection,8936
Brigada Z Collection,160598
Brigade Miscellaneous,620415
Bright Collection,497697
Bring It On Collection,430186
Brooklyn Cigar Store Collection,439053
Brother Bear Collection,96472
Brother Collection,218293
Brotherhood of Blades Collection,486044
Brüder Filmreihe,162309
Bruno & Boots - Collection,673287
Brutal Tales of Chivalry Collection,463148
Buck Privates Collection,489090
Buddenbrooks Collection,307048
Bulldog Drummond (John Howard) Collection,560254
Bulldog Drummond (Richard Johnson) Collection,460334
"Bullets, Bombs, and Babes",736172
Bullit & Riper Collection,297299
Bummer Collection,107461
Burg Schreckenstein Filmreihe,524220
Buried Alive Collection,518611
Burnout Collection,448758
Burnt by the Sun Trilogy,23170
Butch Cassidy and the Sundance Kid Collection,625812
Butter bei die Fische Filmreihe,297913
Byl jednou jeden polda (kolekce),210771
Byomkesh Bakshi Collection,457354
C.H.U.D. Collection,257571
Caballeros Collection,271668
Cabin By The Lake Collection,333398
Cabin Fever Collection,201576
Caddyshack Collection,104847
Cage Collection,626780
Cagney & Lacey Collection,660895
Cal Collection,693008
Calcutta Trilogy,361007
Calcutta Trilogy,717997
Çalgı Çengi Collection,473977
Callaghan - Saga,619702
Caméra Café,160952
Camilla Läckberg,31137
Camp Blood Collection,234835
Camp Rock Collection,148055
Camping Collection,52097
Candyman Collection,98580
Cannonball Run Collection,101688
Caprona (Amicus) Collection,211753
Captain America (1979) Collection,197476
Captain America Collection,131295
Captain Marvel Collection,623911
Captain Robert Surcouf Collection,399930
Captain Underpants Collection,732397
Cardcaptor Sakura Collection,141252
Care Bears Collection,363966
Carlito's Way Collection,625861
Carmen electra's aerobic striptease,387619
Carmina - Colección,418219
Carnosaur Collection,256484
Carrie Collection,257053
Carry On Collection,691608
Cars Collection,87118
Casa Gori - Collezione,361563
Casino Raiders Collection,192170
Casino Tycoon Collection,192171
Casper and Emma Collection,388746
Casper Collection,8819
Casper Og Frank: Nu Som Mennesker,480131
Casteel Series Collection,625337
Cat Girls Gamblers Collection,706894
Cat People Collection,272673
Cat Run Collection,288235
Cats & Dogs Collection,87014
Cattle Hill,645991
Caviar Movies,553812
Cementerio General Collection,636165
Center Stage Collection,246839
C'est quoi cette ... ?!,606179
Cesta (kolekce),653943
Cetto La Qualunque - Collezione,188197
Chaar Sahibzaade Collection,441179
Chained Heat,643572
Chameleon Trilogy,397844
Chanoc Collection,573728
Chaos-Queens Filmreihe,710028
Charlie Chan (Roland Winters) Collection,413663
Charlie Chan (Sidney Toler) Collection,413661
Charlie Chan (Warner Oland) Collection,38451
Charlie's Angels Collection,86029
Charlotte's Web Collection,263193
Chasing The Dragon Collection,707637
Che Collection,86774
Cheaper by the Dozen Collection,114783
Cheaper by the Dozen Collection,730700
Cheech & Chong Collection,33071
Cheerleader Massacre Collection,741219
Cherry Blossoms,587266
Chicken Run Collection,718551
Children of the Corn Collection,115225
Child's Play Collection,10455
Chili Palmer Collection,91698
Chobotnice z II. patra (kolekce),713060
Chocolate City Collection,509215
Christian Wahnschaffe Collection,545617
Christmas in Canaan Collection,636748
Christmas in Evergreen Collection,650446
Chronicle Mysteries Collection,584691
CIA Collection,336051
Cinderella Collection,55419
Cinderella Story Collection,437451
Circuitry Man Collection,96660
Cirkusrevyen,175336
Cirque du Soleil Collection,391739
Cisco Kid Collection,240175
Cities of Love Collection,626668
City Singler,336962
City Slickers Collection,150156
CKY Series,93671
Clash of the Titans Collection,86780
Class of 1999 Collection,164397
Clear Skies Collection,114289
Cleopatra Jones Collection,452675
Clerks Collection,182813
Clint Eastwood's Iwo Jima Collection,261382
