HOMEPAGE,COMPANYID,NAME_,City,state,ORIGIN_COUNTRY
https://www.lucasfilm.com/,1,Lucasfilm Ltd.,San Francisco, California,US
http://www.disneypictures.com/,2,Walt Disney Pictures,Burbank, California,US
http://www.pixar.com,3,Pixar,Emeryville, California,US
http://www.paramount.com/,4,Paramount,Hollywood, California,US
http://www.sonypictures.com,5,Columbia Pictures,Culver City, California,US
,6,RKO Radio Pictures,New York City, New York,US
http://dreamworkspictures.com,7,DreamWorks Pictures,Universal City, California,US
,8,Fine Line Features,,,
http://www.gaumont.fr,9,Gaumont,Neuilly sur Seine,,FR
,10,Highlight,,,
,11,WingNut Films,Wellington,,NZ
http://www.newline.com/,12,New Line Cinema,Burbank, CA,US
https://www.miramax.com,14,Miramax,Los Angeles, California,US
,15,Lama Films,Palestine,,PS
http://www.unitedking.co.il,16,United King Films,Ramat-Asharon, Israel,IL
,17,Warner Bros. Entertainment,,,US
http://www.graciefilms.com/,18,Gracie Films,Los Angeles, California,US
http://filmroman.com/,19,Film Roman,Toluca Lake, California,US
,20,Rough Draft Studios,,,
http://www.mgm.com/,21,Metro-Goldwyn-Mayer,Beverly Hills, California,US
http://imagine-entertainment.com,23,Imagine Entertainment,Beverly Hills, California,US
,24,Mikona Productions GmbH & Co. KG,,,DE
http://www.foxmovies.com/,25,20th Century Fox,Century City, California,US
,28,Newmarket Films,Los Angeles, California,US
,29,Topcraft,,,JP
,30,Eddie Murphy Productions,,,US
https://www.filmschule-hamburg-berlin.de/,31,Hamburger Filmschule,Berlin, Germany,DE
,32,Buena Vista Pictures,,,
http://www.universalpictures.com/,33,Universal Pictures,Universal City, California,US
http://www.sonypictures.com/,34,Sony Pictures,Culver City, California,US
,35,Lions Gate Films,,,US
,37,Gramercy Pictures,Universal City, California,US
http://www.tor.com.pl/,38,Zespól Filmowy TOR,,,PL
,39,Docurama,,,
,41,Orion Pictures,,,US
,42,Universal Pictures Corporation,,,
http://www.foxsearchlight.com/,43,Fox Searchlight Pictures,Los Angeles, California,US
,44,Cruise/Wagner Productions,,,
https://roadmovies.com/,45,Road Movies Filmproduktion GmbH,Berlin, Germany,DE
https://www1.wdr.de/index.html,46,Westdeutscher Rundfunk,Cologne, Germany,DE
https://www.constantin-film.de/,47,Constantin Film,Munich, Bavaria,DE
,48,Cristaldifilm S.r.l.,,,
https://www.eldeseo.es/en/,49,El Deseo,Madrid,,ES
,50,Deutsche Vereinsfilm AG,Berlin, Germany,DE
