FILMID,COMPANYID
497582,121424
497582,923
497582,174
528085,22369
528085,105250
660982,17009
660982,33
337401,2
337401,14714
337401,103698
337401,89254
337401,20193
337401,3166
724989,73685
724989,121204
694919,92109
694919,87067
539885,83210
539885,6626
539885,88606
617505,2608
718444,17302
718444,67260
718444,1632
581392,20064
581392,103875
581392,14285
623634,121970
623634,85835
623634,121971
623634,121972
621870,2
621870,134209
475430,11391
475430,2
475430,38227
475430,134209
438396,126075
438396,134511
438396,10012
438396,981
438396,85588
438396,103476
606234,10583
606234,119153
606234,5056
606234,25954
606234,136586
721452,3604
76600,1246
76600,22213
76600,127928
76600,574
726739,135087
605116,102118
605116,71895
746957,133016
677638,7899
715123,8789
715123,141822
613504,107107
613504,6626
594328,2
594328,134209
716258,20580
716258,68884
716258,139524
495764,9993
495764,82968
495764,103462
495764,174
495764,429
495764,128064
495764,101831
385103,25120
385103,174
385103,1353
385103,2785
38700,5
38700,2481
38700,84792
38700,10288
38700,907
741998,1533
741998,104800
741998,24692
741998,12033
703134,65649
703134,80626
703134,133757
531499,10246
531499,118475
531499,136607
531499,90761
547016,82819
547016,3574
547016,19477
632618,44391
632618,63474
611395,137195
611395,34396
611395,140609
611395,14714
446893,521
446893,33
440249,86249
440249,86250
338762,34
338762,10246
338762,6573
338762,333
338762,103673
338762,124335
338762,5
338762,1225
338762,30148
508439,2
508439,3
425001,53531
738215,137586
738215,5024
664767,2785
664767,13033
454626,333
454626,10644
454626,77884
454626,4
454626,113750
454626,100711
454626,134794
454626,134796
601165,72731
601165,114163
601165,67994
601165,130806
601165,130807
601165,130808
516486,4171
516486,13240
516486,7493
516486,14319
516486,5
516486,34
611605,133404
603119,49827
603119,118544
603119,94525
603119,136348
489326,74061
489326,84988
489326,7625
489326,135311
489326,38072
489326,139780
601844,75355
601844,18609
601844,75357
601844,130900
601844,65649
601844,130899
601844,133918
87436,3595
87436,10485
746180,140645
384018,25998
384018,73669
384018,33
531876,1020
531876,105330
531876,137004
666750,33
545609,106544
545609,109172
545609,92029
530915,1522
530915,7
530915,114732
530915,121685
530915,33
530915,133323
530915,7294
530915,103476
530915,8582
11707,171
330457,6125
330457,2
619592,73685
619592,290
619592,121423
619592,138238
619592,138239
619592,3604
619592,24513
619592,85562
619592,65649
619592,138240
420634,84591
208763,74107
208763,135340
560204,41735
560204,125092
560204,52738
560204,117747
560204,37504
560204,92336
560204,129701
354912,3
354912,2
567971,1756
567971,122433
703771,2785
703771,429
703771,72489
703771,27711
703771,9993
299536,420
720395,89929
413518,11011
413518,53334
413518,11561
413518,5125
413518,2683
413518,14016
413518,18973
413518,104800
413518,135542
413518,104
413518,10611
413518,67873
413518,135543
413518,19916
413518,20416
627290,1632
627290,72725
627290,656
597156,19328
581387,103323
581387,7036
581387,112425
581387,126469
512200,5
512200,73669
512200,40268
512200,53462
512200,2550
512200,34
501979,2347
501979,32554
501979,100640
501979,106754
501979,106439
501979,21
501979,20658
501979,41
501979,8854
193726,10485
193726,3595
193726,19324
429617,420
429617,5
429617,84041
429617,34
429617,86561
299534,420
583083,104090
659986,28064
659986,92840
659986,856
659986,12142
618354,2785
618354,9993
618354,14772
680028,69142
680028,107513
479259,136892
479259,79500
397243,7437
397243,53247
397243,84988
397243,70784
22620,33423
22620,4811
161,79
161,172
161,2596
161,129
161,174
169917,39043
169917,216
169917,40106
169917,11448
169917,10246
169917,8532
169917,40107
169917,215
9738,26149
9738,436
9738,5755
9738,19551
9738,25
9738,10881
13053,6125
37169,5652
100042,12
100042,33
100042,1156
100042,19177
530385,39407
530385,123620
537915,107107
537915,107108
537915,2378
537915,103330
537915,6626
537915,140519
420817,2
420817,2723
420817,118854
420817,2527
667141,139546
655431,529
579583,33
579583,10105
579583,10338
468816,93035
468816,114278
721656,2785
721656,1353
721656,8298
420818,2
420818,7297
582218,89985
582218,7938
743601,95614
499932,89261
499932,10058
499932,139898
530723,99963
530723,7625
530723,7429
530723,132844
577922,9996
577922,174
481084,75234
481084,46875
481084,13240
481084,21
701175,20656
701175,139254
458156,491
458156,3528
458156,113619
458156,1632
68724,28788
68724,559
68724,2531
68724,11029
68724,18209
68724,31076
68724,34
630338,3268
630338,14914
11430,5391
406563,11341
406563,3172
406563,34
406563,33
22894,3287
22894,2266
39102,5542
354857,7899
548473,34519
548473,125049
548473,112399
548473,12142
9645,79
9645,172
9645,1786
9645,53238
9645,174
673595,127928
673595,18
673595,11749
621013,20580
474350,2723
474350,12
474350,174
474350,829
474350,87671
317442,2883
636891,89269
10226,1632
10226,2926
10226,6896
586334,126639
11838,4563
11838,5815
11838,7776
11838,81034
554022,24519
554022,28103
554022,73249
508570,47706
508570,134794
508570,136910
508570,2
508570,134209
338967,11733
338967,5
338967,34
509967,82819
509967,6734
248781,10485
616803,19037
616803,120975
616803,16498
616803,2801
616803,12477
616803,2999
347201,3234
347201,104681
594530,2
594530,3
702936,5388
702936,769
718867,137625
277,3287
277,126
277,7733
277,7734
277,7735
277,7736
175112,5391
308529,86465
308529,350
8960,41756
8960,5
8960,7295
8960,28064
8960,433
8960,675
8960,907
8960,34
1677,2233
1677,33
1677,8833
1677,2234
4108,356
4108,6896
4108,972
4108,104
334298,10284
448119,33
448119,27467
448119,10338
448119,105052
447404,923
447404,12288
447404,12654
447404,882
447404,174
679796,49937
679796,38078
679796,112164
679796,38077
605499,288
605499,16877
605499,7281
631939,133064
631939,133065
181812,1
181812,11461
181812,2
181812,120404
417466,53766
417466,6517
417466,88231
417466,116960
417466,140
417466,90733
340102,7505
340102,127928
340102,25
340102,22213
526973,6623
667520,20556
324857,5
324857,2251
324857,7505
324857,14439
324857,77973
324857,84041
324857,34
594084,1632
594084,139740
661677,2562
703155,89302
703155,34260
404368,2
404368,6125
706503,3040
706503,67043
706503,134188
575094,84554
581600,20153
581600,333
581600,8537
581600,119509
522938,1020
522938,14571
522938,126013
522938,48738
522938,117435
373571,923
373571,174
373571,83645
373571,882
166428,521
166428,33
568160,882
568160,3756
568160,128616
568160,32359
568160,8157
568160,128617
568160,100259
320288,431
320288,25
320288,28788
320288,9168
320288,7505
320288,112049
320288,22213
423204,48738
423204,71488
423204,103331
423204,1020
647265,112397
647265,10285
695568,132639
695568,37208
347548,71899
347548,71900
347548,71901
599521,3213
442249,2481
442249,3172
442249,33
353081,4
353081,11461
353081,82819
353081,21777
353081,69484
75624,2883
75624,7884
75624,3234
75624,3467
506574,3213
299537,420
372058,3756
303857,7485
303857,5542
303857,104652
687149,132572
461130,126355
461130,36109
461130,126513
461130,12142
461130,82659
461130,806
335983,31828
335983,53462
335983,84041
335983,7505
335983,81620
481848,787
481848,127928
481848,22213
400155,5
400155,2251
400155,34
296065,34502
458897,34
458897,5
458897,12365
458897,84792
431693,7076
431693,9383
431693,11749
431693,25
351286,56
351286,923
351286,33
351286,10338
592834,47729
592834,36209
623491,4022
623491,17866
345940,56242
345940,48778
345940,435
345940,107790
345940,56241
345940,174
668742,29566
668742,82346
668742,91991
333339,56
333339,2609
333339,174
333339,444
333339,11249
333339,7294
333339,79
627879,571
627879,138332
284053,420
284053,2
287947,9993
287947,429
287947,12
287947,174
287947,11565
287947,73669
287947,128064
466622,7437
466622,7576
466622,104972
466622,20656
466622,290
466622,131913
634524,106273
726664,81139
315635,420
315635,5
315635,84041
315635,34034
315635,34
522627,14
522627,131523
522627,2900
141052,429
141052,9993
141052,41624
141052,9995
141052,507
141052,102618
141052,444
141052,174
141052,128064
141052,8582
578189,102809
578189,84301
578189,3287
561974,111301
561974,10464
561974,20064
324786,50481
324786,491
324786,10246
324786,7437
324786,7584
324786,10951
324786,455
324786,8915
324786,13241
609202,77832
724475,7899
691812,3076
559969,11073
559969,2605
559969,33742
674,174
674,437
674,462
671,174
671,437
671,436
597398,88340
499701,2348
499701,96540
499701,10221
499701,10950
1683,1786
1683,19965
1683,15763
1683,79
1683,174
618353,2785
618353,9993
612706,47729
612706,10067
612706,137361
673,174
673,436
673,437
700995,133373
700995,133374
698410,69916
496243,7036
496243,4399
618344,2785
618344,9993
618344,429
617708,121106
617708,107587
617708,72596
617708,85066
402900,79
402900,174
402900,1163
402900,104907
402900,1782
531299,10399
531299,63611
531299,124327
531299,124328
531299,831
531299,1020
657561,97491
297762,429
297762,9993
297762,174
297762,128064
297762,444
297762,507
297762,9995
297762,81620
297762,83838
383498,7505
383498,25
383498,112049
383498,104228
383498,22213
447200,34081
447200,923
447200,73669
447200,122652
284054,420
284054,2
260513,2
260513,3
484641,6896
484641,104
484641,11620
484641,356
484641,22123
484641,5076
529203,33
529203,521
500916,77079
500916,101890
500916,5218
500916,125094
500916,125066
572154,109555
505225,63369
505225,76423
505225,36109
560192,75357
560192,831
560192,52738
560192,125808
560192,68738
614208,133573
385687,33
385687,333
385687,1225
565743,99476
565743,20580
346910,1302
346910,22213
346910,25
346910,1786
346910,111737
22787,1786
22787,694
22787,8582
22787,11715
22787,11576
22787,4253
22787,20572
22787,174
431580,521
431580,76266
431580,33
132232,33
132232,10677
132232,10678
11283,33
11283,694
11283,21
11283,10163
11283,1973
11283,76721
435,1557
435,54502
435,35
435,347
435,25
432057,34767
11887,2
605804,136527
5825,174
5825,477
5825,3432
359724,25
359724,7076
359724,22213
359724,138755
520901,17009
520901,435
520901,1512
520901,7288
49519,521
767,174
767,437
656690,89145
656690,92455
656690,103292
382748,10290
382748,3672
382748,107188
382748,2
382748,134209
297802,429
297802,9993
297802,174
297802,11565
297802,112502
297802,112611
297802,128064
297802,9995
335984,79529
335984,101829
335984,1645
335984,5
335984,1088
335984,78028
335984,174
489245,11068
489245,12292
489245,127127
10439,2
520763,2481
520763,29312
520763,4
511987,122323
511987,85653
511987,123998
511987,114338
428045,318
428045,74107
428045,14714
428045,130900
428045,136871
428045,90658
428045,136872
428045,136873
428045,136874
428045,136875
505262,2849
505262,71963
505262,882
552095,120345
293660,25
293660,7505
293660,112049
293660,431
293660,22213
316727,729
316727,33
316727,3172
316727,2481
520725,3012
520725,116046
637157,10339
503314,5542
503314,7485
503314,2918
503314,3341
503314,12502
391757,11341
216015,10146
216015,11370
216015,7626
723895,521
659067,12648
659067,19037
480530,21
480530,174
480530,12
480530,8880
12445,174
12445,437
530157,18609
530157,73376
530157,70784
122917,174
122917,11
122917,12
122917,7413
122917,21
214756,44783
214756,33
214756,8789
214756,13778
214756,2531
547017,1422
547017,85283
547017,85811
547017,90733
177572,6125
177572,2
449924,126771
449924,86569
449924,4054
556901,2785
556901,9993
587792,128360
587792,113319
587792,90733
587792,53808
587792,86523
95963,37350
95963,11308
95963,23808
427641,73118
427641,12
427641,105750
427641,105751
427641,34081
427641,101832
513045,25
550440,2
550440,134209
2105,491
2105,33
2105,506
2105,3169
466550,19146
283366,10893
283366,7076
283366,8601
283366,11199
283366,68621
283366,22213
283366,290
283366,25
539892,92394
539892,123556
539892,123557
539892,123558
539892,129701
10674,6125
10674,2
560044,111025
560044,53152
560044,13240
366170,55914
366170,50879
366170,53504
366170,21592
366170,5822
135397,56
135397,923
135397,33
135397,1778
135397,862
12444,174
12444,437
399363,127929
399363,89142
399363,6714
263115,431
263115,91797
263115,22213
263115,7505
263115,25
263115,28788
246655,431
246655,7505
246655,9168
246655,22213
246655,25
246655,28788
284052,420
337167,33
337167,10338
19995,444
19995,574
19995,25
19995,290
609242,8920
609242,8046
609242,88418
609242,6679
450465,33
450465,3172
450465,12236
450465,5892
450465,10338
571785,3657
571785,71853
571785,88607
138843,31375
138843,12
138843,11565
127585,7505
127585,9168
127585,22213
127585,25
127585,431
509853,77079
509853,117746
509853,117747
509853,101889
509853,101890
509853,122718
559957,80849
512895,2
155,429
155,923
155,9996
155,118865
155,9993
155,174
270946,521
270946,520
595172,117130
595172,117131
158015,33
158015,729
158015,2481
158015,3172
610201,89269
610201,126785
610201,41813
638134,17012
419704,490
419704,79963
419704,73492
419704,81
419704,30666
419704,30148
419704,22213
550231,100460
550231,73666
550231,911
550231,135943
550231,99962
550231,135953
550231,135954
20982,3234
535292,106544
535292,36209
535292,3393
500922,110756
500922,53169
500922,8583
500922,123580
500922,290
324552,3528
324552,23008
324552,1632
737799,139319
268896,923
268896,101082
268896,104742
268896,33
268896,1778
268896,107182
268896,107183
268896,3341
268896,10338
268896,101832
585244,100855
198663,290
198663,3672
198663,8569
198663,12292
198663,22213
198663,25
570503,112659
570503,112531
570503,68969
674942,1311
574982,113707
574982,113708
574982,119813
136799,521
462883,5556
462883,33
462883,17009
342470,2147
342470,69686
337339,33
337339,333
337339,7958
337339,40890
337339,1778
337339,1225
704264,7899
704264,6760
348893,34070
582885,80045
582885,591
582885,104
582885,10611
582885,7131
582885,310
582885,311
582885,11246
582885,127792
582885,11699
537061,7899
524047,47729
524047,3528
524047,138743
524047,103331
524047,76314
524047,1634
346364,41624
346364,12
346364,829
346364,2723
346364,87671
346364,174
300668,284
300668,4
300668,258
300668,82819
262500,491
262500,14440
262500,10227
262500,24097
262500,1632
250574,3172
250574,1974
378236,5
378236,2251
378236,34
524251,5056
524251,50079
524251,128415
524251,110175
524251,128716
524251,128717
14836,10146
14836,11537
14836,8915
424783,2598
424783,4
424783,57031
424783,6734
424783,435
424783,81620
424783,38831
458305,18078
458305,49473
458305,111422
458305,12142
458305,16820
659991,18156
659991,136765
659991,2451
808,521
808,7
808,520
157336,923
157336,9996
157336,13769
398818,16017
398818,30666
398818,46344
398818,88564
398818,88565
398818,10949
398818,14016
600348,118757
34433,5822
34433,24051
34433,5542
471707,54732
471707,121045
471707,121046
471707,121047
471707,121048
471707,104
471707,11240
7342,2230
7342,2231
501953,123469
501953,100640
501953,12177
501953,77941
501953,798
508664,101576
508664,89994
508664,126370
508664,106364
508664,126371
508664,126372
508664,290
12104,500
12104,8834
12104,21
539649,109972
539649,3172
238636,33
238636,729
238636,2481
238636,3172
238636,47354
522444,85170
522444,46813
522444,22897
240832,6896
240832,104
240832,10611
240832,356
35,80853
35,18
35,96084
35,19
35,25
35,11749
35,127928
809,7
809,520
809,521
439079,12
439079,76907
439079,11565
464052,9993
464052,174
464052,429
464052,105514
464052,114152
464052,128064
464052,507
99861,420
617,1236
396535,20064
396535,103875
591237,17009
703745,139626
570508,112531
570508,112532
570508,7819
363088,420
618355,2785
646150,54803
646150,10399
486589,3657
486589,20064
486589,121669
9637,507
9637,748
9637,174
260346,6896
260346,1115
260346,6877
260346,10611
260346,11261
260346,22213
260346,87854
260346,25
260346,104
11850,60
126889,1645
126889,19747
126889,22213
126889,25
293167,923
293167,174
557940,58399
557940,52065
557940,133016
424694,3281
424694,508
424694,90995
424694,11391
424694,10104
424694,25
551238,41427
283995,420
602411,1311
575813,35228
575813,140097
575813,140098
575813,7909
575813,140099
480042,109907
480042,48129
480042,90968
480042,73685
271110,420
610461,101847
571891,5372
571891,31058
571891,12654
571891,12288
571891,9149
571891,140450
571891,3034
571891,114052
571891,8157
571891,882
571891,12655
571891,12653
514439,711
514439,25
514921,20580
514921,10227
514921,7493
274855,101832
274855,86561
274855,82819
274855,41624
274855,3241
274855,174
9431,33
9431,69626
9431,69625
36419,12410
36419,6020
378064,5438
3933,8601
3933,11537
3933,57751
3933,174
3933,1515
3933,1514
428078,1938
428078,105645
428078,33
428078,11
428078,2531
615466,3672
615466,12292
399360,77863
399360,5
399360,34
50723,882
50723,3034
50723,2918
50723,3234
50723,6451
50723,2883
50723,1778
338952,174
338952,437
289239,32429
289239,32430
50620,491
50620,12292
50620,5219
364689,9383
364689,11749
364689,1302
364689,25
721328,128938
721328,107024
14337,133460
109445,2
109445,6125
504949,81
504949,6237
504949,32299
504949,124854
140300,76266
140300,40890
140300,521
456740,48738
456740,552
456740,1020
456740,491
456740,120256
456740,92915
456740,840
626393,10285
8966,491
8966,12292
8966,4000
8966,5218
8966,500
