"person_id","director","film_ids","film_titles","avg_rating","total_votes","total_films"
"1776","Francis Ford Coppola","238,240,28","The Godfather,The Godfather  Part II,Apocalypse Now","8.53","26092","3"
"1625347","Tony Brandt","28,238,240","Apocalypse Now,The Godfather,The Godfather  Part II","8.53","26092","3"
"240","Stanley Kubrick","62,694,600,185","2001  A Space Odyssey,The Shining,Full Metal Jacket,A Clockwork Orange","8.15","35172","4"
"1213681","David Tomblin","1892,197,1891","Return of the Jedi,Braveheart,The Empire Strikes Back","8.10","29299","3"
"7531","Joseph P. Reidy","1422,769,44214","The Departed,GoodFellas,Black Swan","8.07","28619","3"
"525","Christopher Nolan","1124,157336,272,77,374720,27205,155,49026","The Prestige,Interstellar,Batman Begins,Memento,Dunkirk,Inception,The Dark Knight,The Dark Knight Rises","8.04","139050","8"
"1566280","Nilo Otero","374720,157336,49026,27205,155","Dunkirk,Interstellar,The Dark Knight Rises,Inception,The Dark Knight","8.04","103287","5"
"1032","Martin Scorsese","106646,103,769,1422,44826,11324","The Wolf of Wall Street,Taxi Driver,GoodFellas,The Departed,Hugo,Shutter Island","8.03","63514","6"
"58809","Martin Kitrosser","273248,500,466272,680,68718,16869","The Hateful Eight,Reservoir Dogs,Once Upon a Time… in Hollywood,Pulp Fiction,Django Unchained,Inglourious Basterds","8.03","81863","6"
"1434225","Susan Malerstein","13,363676,497","Forrest Gump,Sully,The Green Mile","8.03","35078","3"
"19271","Anthony Russo","299536,271110,299534,100402","Avengers  Infinity War,Captain America  Civil War,Avengers  Endgame,Captain America  The Winter Soldier","7.93","65610","4"
"19272","Joe Russo","271110,299534,100402,299536","Captain America  Civil War,Avengers  Endgame,Captain America  The Winter Soldier,Avengers  Infinity War","7.93","65610","4"
"24","Robert Zemeckis","13,105,165,196,8358","Forrest Gump,Back to the Future,Back to the Future Part II,Back to the Future Part III,Cast Away","7.90","56753","5"
"1223","Joel Coen","275,6977,115","Fargo,No Country for Old Men,The Big Lebowski","7.90","20409","3"
"138","Quentin Tarantino","393,24,466272,680,68718,16869,500,187,273248,187","Kill Bill  Vol. 2,Kill Bill  Vol. 1,Once Upon a Time… in Hollywood,Pulp Fiction,Django Unchained,Inglourious Basterds,Reservoir Dogs,Sin City,The Hateful Eight,Sin City","7.89","115508","10"
"82133","David Webb","475557,475557,5915,68734","Joker,Joker,Into the Wild,Argo","7.88","43746","4"
"1599143","William Paul Clark","466272,24,68718,393","Once Upon a Time… in Hollywood,Kill Bill  Vol. 1,Django Unchained,Kill Bill  Vol. 2","7.88","48862","4"
"12890","Pete Docter","150540,585,14160","Inside Out,Monsters  Inc.,Up","7.87","43669","3"
"1402039","Martha Pinson","1422,11324,44826","The Departed,Shutter Island,Hugo","7.87","31998","3"
"16589","Peter MacDonald","268,1891,118340,673,672,674","Batman,The Empire Strikes Back,Guardians of the Galaxy,Harry Potter and the Prisoner of Azkaban,Harry Potter and the Chamber of Secrets,Harry Potter and the Goblet of Fire","7.83","82595","6"
"1403710","Renee Burke","475557,328387,475557","Joker,Nerve,Joker","7.83","36046","3"
"7467","David Fincher","1949,4922,37799,550,807,210577","Zodiac,The Curious Case of Benjamin Button,The Social Network,Fight Club,Se7en,Gone Girl","7.82","70767","6"
"2447","Peter Kohn","58,316029,22,313369,359940","Pirates of the Caribbean  Dead Man s Chest,The Greatest Showman,Pirates of the Caribbean  The Curse of the Black Pearl,La La Land,Three Billboards Outside Ebbing  Missouri","7.80","52831","5"
"5163","David McGiffert","196,105,165","Back to the Future Part III,Back to the Future,Back to the Future Part II","7.80","29899","3"
"1495958","Gregory J. Pawlik Jr.","278927,157336,27205","The Jungle Book,Interstellar,Inception","7.80","57563","3"
"2482608","Ryan Robert Howard","402900,475557,475557","Ocean s Eight,Joker,Joker","7.80","36163","3"
"2710","James Cameron","19995,679,280,218,597","Avatar,Aliens,Terminator 2  Judgment Day,The Terminator,Titanic","7.78","63645","5"
"1513635","Derek Cracknell","268,679,185","Batman,Aliens,A Clockwork Orange","7.77","20187","3"
"1367508","Steve Gehrke","77,1124,49026,155,374720,294254,27205,198663","Memento,The Prestige,The Dark Knight Rises,The Dark Knight,Dunkirk,Maze Runner  The Scorch Trials,Inception,The Maze Runner","7.76","120235","8"
"1766405","Karen Davis","273481,335984,146233,50014","Sicario,Blade Runner 2049,Prisoners,The Help","7.75","26876","4"
"108","Peter Jackson","122917,57158,122,121,120,49051,254","The Hobbit  The Battle of the Five Armies,The Hobbit  The Desolation of Smaug,The Lord of the Rings  The Return of the King,The Lord of the Rings  The Two Towers,The Lord of the Rings  The Fellowship of the Ring,The Hobbit  An Unexpected Journey,King Kong","7.73","88787","7"
"10956","Josh McLaglen","263115,19995,597","Logan,Avatar,Titanic","7.73","54868","3"
"7980","Derek Williams","863,9806,150540","Toy Story 2,The Incredibles,Inside Out","7.70","38361","3"
"15218","James Gunn","118340,283995,283995","Guardians of the Galaxy,Guardians of the Galaxy Vol. 2,Guardians of the Galaxy Vol. 2","7.70","52325","3"
"1428837","John Mahaffie","330459,99861,24428,120","Rogue One  A Star Wars Story,Avengers  Age of Ultron,The Avengers,The Lord of the Rings  The Fellowship of the Ring","7.70","69142","4"
"1450000","Tracy Scott","152601,244786,168672","Her,Whiplash,American Hustle","7.70","25906","3"
"1471947","Chris Carreras","672,2503,674,671,137113,18,673","Harry Potter and the Chamber of Secrets,The Bourne Ultimatum,Harry Potter and the Goblet of Fire,Harry Potter and the Philosopher s Stone,Edge of Tomorrow,The Fifth Element,Harry Potter and the Prisoner of Azkaban","7.70","85517","7"
"1697237","Terry Madden","137113,11,99861","Edge of Tomorrow,Star Wars,Avengers  Age of Ultron","7.70","40938","3"
"72972","Andrew Cadelago","2062,14160,62211,10681,10193","Ratatouille,Up,Monsters University,WALL·E,Toy Story 3","7.68","58407","5"
"1519868","Donald Sparks","329865,50014,146233,495764,335984","Arrival,The Help,Prisoners,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),Blade Runner 2049","7.68","40153","5"
"1559640","Donald Murphy","274870,70,115,13223","Passengers,Million Dollar Baby,The Big Lebowski,Gran Torino","7.68","31225","4"
"1437719","Lori Grabowski","99861,299536,137106","Avengers  Age of Ultron,Avengers  Infinity War,The Lego Movie","7.67","42295","3"
"1478953","Cate Hardman","50014,138843,318846","The Help,The Conjuring,The Big Short","7.67","18768","3"
"1836887","Michael Stevenson","671,694,954","Harry Potter and the Philosopher s Stone,The Shining,Mission  Impossible","7.67","35983","3"
